id_strage,titolo_strage,grande_strage,localita,geolocalizzazione,id_comune,datainizio,datafine,vittimetot,vittimeutot,vittimeubambini,vittimeuragazzi,vittimeuadulti,vittimeuanziani,vittimeusenzainfo,vittimedtot,vittimedbambine,vittimedragazze,vittimedadulte,vittimedanziane,vittimedsenzainfo,vittimeignote,matrice_strage,uccisioni,id_regione,regione,lat,lng
581,CANTAVENNA GABIANO 01.11.1944,0.0,Cantavenna,Cantavenna,934,1944-11-01,1944-11-01,5,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Nazista,uccisione con armi da fuoco,1.0,Piemonte,45.159718,8.2261891
5118,"Tolè, Vergato, 05.08.1944",,Tolè,Tolè,4000,1944-08-05,,3,3.0,,,3.0,,,,,,,,,,Nazifascista,fucilazione,8.0,Emilia-Romagna,44.3288774,11.0584476
3,CASALMAGGIORE PONTE SUL PO 28.03.1945,0.0,Ponte sul Po,via artigiani,2519,1945-03-28,1945-03-28,3,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,fucilazione,3.0,Lombardia,44.9782634,10.4212804
1710,"CREMA, 18.06.1944",,Crema,Crema,2533,1944-06-18,1944-06-18,1,1.0,,,,,1.0,,,,,,,,Fascista,uccisione con armi da fuoco,3.0,Lombardia,45.3643375,9.6824841
5,Badoere di Morgano 3.3.1945,0.0,Badoere,Badoere,3348,1945-03-03,1945-03-03,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazista,uccisione con armi da fuoco,5.0,Veneto,45.6323881,12.0836775
6,"Borgo Barozzo di San Fior, 6.8.1944",0.0,Borgo Barozzo,Borgo Barozzo,3373,1944-08-06,1944-08-06,3,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fascista,uccisione con armi da fuoco,5.0,Veneto,45.9229416,12.3616181
7,SCUOLA BELLA ACQUI TERME 25.01.1944,0.0,"Via Battisti, Scuola Bella",via Battisti,858,1944-01-25,1944-01-25,5,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazista,fucilazione,1.0,Piemonte,44.6744282,8.4667492
8,CAMAGNA MONFERRATO 31.07.1944,0.0,Camagna Monferrato,Camagna Monferrato,883,1944-07-31,1944-07-31,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fascista,fucilazione,1.0,Piemonte,45.0182064,8.430774
9,ACQUABELLA CAREZZANO 21.06.1944,0.0,Acquabella,Acquabella,889,1944-06-21,1944-06-21,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Nazista,fucilazione,1.0,Piemonte,44.8128757,8.9049352
11,"CITTADELLA, CASALE MONFERRATO, 14-15.01.1945",0.0,Località Cittadella,Località Cittadella,896,1945-01-14,1945-01-15,13,13.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fascista,fucilazione,1.0,Piemonte,45.1316088,8.450503
12,Camino di Oderzo 12/9/1944,0.0,Camino,,3352,1944-09-12,1944-09-12,2,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazista,impiccagione,5.0,Veneto,45.7852516,12.502015
13,"Faenza, 11.02.1944",0.0,Faenza,Faenza,4036,1944-02-11,1944-02-11,3,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fascista,fucilazione,8.0,Emilia-Romagna,44.2898527,11.8774091
14,"Cervia, 20.03.1944",0.0,Cervia,Cervia,4033,1944-03-20,1944-03-21,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fascista,uccisione con armi da fuoco,8.0,Emilia-Romagna,44.2635492,12.3476822
15,"Pinarella, Ravenna, 25.03.1944",0.0,Pinarella,Pinarella,4040,1944-03-25,1944-03-25,3,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fascista,fucilazione,8.0,Emilia-Romagna,44.4183598,12.2035294
16,"Massa Lombarda, 01.04.1944",0.0,Massa Lombarda,Massa Lombarda,4039,1944-04-01,1944-04-01,2,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazista,fucilazione,8.0,Emilia-Romagna,44.4479138,11.822924
17,"VIA PIAVE, ALBA, 12.09.1943",0.0,Via Piave,Via Piave,492,1943-09-12,1943-09-12,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazista,uccisione con armi da fuoco,1.0,Piemonte,44.6898494,8.0196808
18,"BRA, 11.09.1943",0.0,Bra,Bra,518,1943-09-11,1943-09-11,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Nazista,uccisione con armi da fuoco,1.0,Piemonte,44.6923429,7.8551164
19,"BARBAGELATA, LORSICA, 13.08.1944",0.0,Barbagelata,Barbagelata,1287,1944-08-13,1944-08-14,3,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fascista,,7.0,Liguria,44.481798,9.2421849
20,"CASALGRASSO, 12.09.1943",0.0,Casalgrasso,Casalgrasso,534,1943-09-12,,3,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazista,uccisione con armi da fuoco,1.0,Piemonte,44.8178453,7.6266485
21,"STAZIONE ALTIPIANO, MONDOVÌ, 12.09.1943",0.0,Stazione Altipiano,Stazione Altipiano,619,1943-09-12,1943-09-12,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazista,uccisione con armi da fuoco,1.0,Piemonte,44.3844766,7.5426711
22,"Ospedale poveri infermi, Trinità, 12.09.1943",0.0,Ospedale poveri infermi,Ospedale poveri infermi,721,1943-09-12,1943-09-12,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazista,uccisione con armi da fuoco,1.0,Piemonte,44.3844766,7.5426711
23,"CALVARI, DAVAGNA, 02.03.1945",0.0,Calvari,Calvari,1278,1945-03-02,1945-03-02,10,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fascista,fucilazione,7.0,Liguria,44.454749,9.04778
24,"CAMPOMORONE, 07-08.08.1944",0.0,Campomorone,Campomorone,1266,1944-08-07,1944-08-08,6,6.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fascista,fucilazione,7.0,Liguria,44.5097967,8.8924797
25,"VIA BUSCA, CARAGLIO, 13.09.1943",0.0,Via Busca,Via Busca,529,1943-09-13,1943-09-13,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazista,fucilazione,1.0,Piemonte,44.4230489,7.4330358
26,"Magliano Alpi, 13.09.1943",0.0,Magliano Alpi,Magliano Alpi,603,1943-09-13,1943-09-13,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazista,uccisione con armi da fuoco,1.0,Piemonte,44.465674,7.8230058
27,"FORTE CASTELLACCIO, GENOVA, 01.02.1945",0.0,Forte Castellaccio,Forte Castellaccio,1282,1945-02-01,1945-02-01,5,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fascista,fucilazione,7.0,Liguria,44.4297944,8.9325559
2044,"SAN CIPRIANO, 23-30.11.1944",0.0,San Cipriano,San Cipriano,2440,1944-11-23,1944-11-30,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,fucilazione,3.0,Lombardia,45.10637,9.2836389
28,"OSPEDALE DI BRA, BRA, 11.09.1943",0.0,Ospedale di Bra,Ospedale di Bra,518,1943-09-11,1943-10-20,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazista,uccisione con armi da fuoco,1.0,Piemonte,44.7023247,7.8485485
29,"BOVES, 19.09.1943",0.0,Boves,Boves,517,1943-09-19,1943-09-19,21,20.0,0.0,0.0,14.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Nazista,INDEFINITA,1.0,Piemonte,44.3280068,7.5515704
2644,"CANALE, 26-27.08.1944",,Canale,Canale,526,1944-08-26,1944-08-27,2,2.0,,,2.0,,,,,,,,,,Fascista,INDEFINITA,1.0,Piemonte,44.7979738,7.9995993
30,"Frazione Balma, Frabosa Sottana, 29.12.1943",0.0,Frazione Balma,Frazione Balma,579,1943-12-29,1943-12-29,2,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uccisione con armi da fuoco,1.0,Piemonte,44.2292054,7.7736288
31,"BARGE, 21.12.1943",0.0,Barge,Barge,501,1943-12-21,1943-12-21,2,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazista,,1.0,Piemonte,44.7260036,7.3260545
32,AISONE 09.12.1943,0.0,Aisone,Aisone,491,1943-12-09,1943-12-12,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazista,uccisione con armi da fuoco,1.0,Piemonte,44.3134958,7.2227587
33,"Villa Pino di S.Margherita di Fossa Lupara, Sestri Levante, 18.03.1945",0.0,Villa Pino di S.Margherita di Fossa Lupara,Villa Pino di S.Margherita di Fossa Lupara,1316,1945-03-18,1945-03-18,5,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fascista,fucilazione,7.0,Liguria,44.2763654,9.4008281
34,"Cravasco, Campomorone, 22-23.03.1945",0.0,Cravasco,Cravasco,1266,1945-03-22,1945-03-23,17,17.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazifascista,fucilazione,7.0,Liguria,44.5411808,8.8675106
35,"POLIGONO DI TIRO, REGGIO EMILIA, 28.12.1943",0.0,Poligono di tiro,Poligono di tiro,3887,1943-12-28,1943-12-28,8,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fascista,fucilazione,8.0,Emilia-Romagna,44.708676,10.632242
36,"POLIGONO DI TIRO, REGGIO EMILIA, 30.01.1944",0.0,Poligono di tiro,Poligono di tiro,3887,1944-01-30,1944-01-30,9,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fascista,fucilazione,8.0,Emilia-Romagna,44.707525,10.633154
37,"CERVAROLO, VILLAMINOZZO, 20.03.1944",0.0,Ceravolo,Ceravolo,3899,1944-03-20,1944-03-20,24,24.0,0.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazifascista,fucilazione,8.0,Emilia-Romagna,44.2757923,10.4782979
38,"Civago, Villa Minozzo, 20.03.1944",0.0,Civago,Civago,3899,1944-03-20,1944-03-20,4,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Nazista,"fucilazione,uccisione con armi da fuoco",8.0,Emilia-Romagna,44.2493959,10.4685849
39,"GOMBIO, CASTELNOVO MONTI, 03.04.1944",0.0,Gombio,Gombio,3870,1944-04-03,1944-04-03,3,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazista,fucilazione,8.0,Emilia-Romagna,44.5004235,10.4363311
40,GNORECCO E CICHERO SAN COLOMBANO CERTENOLI16.07.1944,0.0,Cichero,Cichero,1310,1944-07-16,1944-07-16,7,7.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Nazifascista,fucilazione,7.0,Liguria,44.4228031,9.3177597
41,"PASSO DEL TURCHINO, LOC. FONTANAFREDDA, MASONE 19.05.1944",0.0,"Passo del Turchino, Loc. Fontanafredda","Passo del Turchino, Loc. Fontanafredda",1289,1944-05-19,1944-05-19,59,59.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazista,fucilazione,7.0,Liguria,44.5021697,8.7156756
42,"Squazza, Borzonasca, 15.02.1945",0.0,Squazza,Squazza,1262,1945-02-15,1945-02-15,10,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fascista,fucilazione,7.0,Liguria,44.4711914,9.3600941
43,"Forte di San Giuliano, Genova, 29.07.1944",0.0,Forte di San Giuliano,Forte di San Giuliano,1282,1944-07-29,1944-07-29,5,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fascista,fucilazione,7.0,Liguria,44.393311,8.9583086
45,ALESSANDRIA 11.09.1944,0.0,Alessandria,Alessandria,860,1944-09-11,1944-09-11,3,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fascista,fucilazione,1.0,Piemonte,44.9072727,8.6116796
46,BOIDINI ALICE BEL COLLE 17.09.1944,0.0,Località Boidini,Località Boidini,862,1944-09-17,1944-09-17,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Nazista,incendio,1.0,Piemonte,44.7278291,8.4265728
48,"CERCIVENTO, 21.06.1944",0.0,Cercivento,Cercivento,3615,1944-06-21,1944-06-21,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazista,,6.0,Friuli-Venezia Giulia,46.5280112,12.987168
49,"EPISODIO DI FORNI-AMPEZZO, AMPEZZO, 14.03.1944",0.0,Strada Forni-Ampezzo,Strada Forni-Ampezzo,3597,1944-03-14,1944-03-14,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazifascista,uccisione con armi da fuoco,6.0,Friuli-Venezia Giulia,46.4173353,12.7900899
83,Atri di Teramo 17-11-1943,0.0,Atri,Atri,5675,1943-11-17,1943-11-17,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazifascista,uccisione con armi da fuoco,13.0,Abruzzo,42.5805952,13.9757972
51,"CASANOVA DI TOLMEZZO, 29.09.1944",0.0,Casanova,Casanova,3711,1944-09-29,1944-09-29,2,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazista,cannoneggiamento volontario,6.0,Friuli-Venezia Giulia,46.4206269,13.0084023
52,"AMARO, 05.08.1944",0.0,Amaro,Amaro,3596,1944-08-05,1944-08-05,3,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nazista,fucilazione,6.0,Friuli-Venezia Giulia,46.3728229,13.0922851
