StazPrelievo;StazDeposito;MesePrelievo;Durata
Vittorio Emanuele;Stazione F.S.;10;39
Vittorio Emanuele;Stazione F.S.;2;53
Vittorio Emanuele;Stazione F.S.;10;55
Vittorio Emanuele;Stazione F.S.;12;56
Vittorio Emanuele;Stazione F.S.;11;56
Vittorio Emanuele;Stazione F.S.;11;56
Vittorio Emanuele;Stazione F.S.;10;57
Vittorio Emanuele;Stazione F.S.;9;57
Vittorio Emanuele;Stazione F.S.;4;60
Vittorio Emanuele;Stazione F.S.;10;60
Vittorio Emanuele;Stazione F.S.;12;60
Vittorio Emanuele;Stazione F.S.;12;60
Vittorio Emanuele;Stazione F.S.;12;60
Vittorio Emanuele;Stazione F.S.;11;61
Vittorio Emanuele;Stazione F.S.;10;61
Vittorio Emanuele;Stazione F.S.;2;62
Vittorio Emanuele;Stazione F.S.;11;62
Vittorio Emanuele;Stazione F.S.;10;63
Vittorio Emanuele;Stazione F.S.;11;63
Vittorio Emanuele;Stazione F.S.;4;63
Vittorio Emanuele;Stazione F.S.;5;63
Vittorio Emanuele;Stazione F.S.;9;64
Vittorio Emanuele;Stazione F.S.;4;64
Vittorio Emanuele;Stazione F.S.;4;64
Vittorio Emanuele;Stazione F.S.;4;65
Vittorio Emanuele;Stazione F.S.;7;66
Vittorio Emanuele;Stazione F.S.;11;66
Vittorio Emanuele;Stazione F.S.;3;67
Vittorio Emanuele;Stazione F.S.;3;68
Vittorio Emanuele;Stazione F.S.;1;68
Comune Palazzo Blu;Borgo Stretto;12;68
Vittorio Emanuele;Stazione F.S.;10;69
Vittorio Emanuele;Stazione F.S.;11;69
Vittorio Emanuele;Stazione F.S.;11;69
Vittorio Emanuele;Stazione F.S.;11;70
Vittorio Emanuele;Stazione F.S.;4;70
Vittorio Emanuele;Stazione F.S.;5;70
Vittorio Emanuele;Stazione F.S.;10;70
Vittorio Emanuele;Stazione F.S.;10;71
Vittorio Emanuele;Stazione F.S.;7;72
Vittorio Emanuele;Stazione F.S.;4;72
Vittorio Emanuele;Stazione F.S.;5;72
Vittorio Emanuele;Stazione F.S.;9;72
Vittorio Emanuele;Stazione F.S.;3;73
Vittorio Emanuele;Stazione F.S.;2;73
Vittorio Emanuele;Stazione F.S.;10;73
Vittorio Emanuele;Stazione F.S.;4;74
Vittorio Emanuele;Stazione F.S.;4;74
Vittorio Emanuele;Stazione F.S.;6;74
Vittorio Emanuele;Stazione F.S.;2;74
Stazione F.S.;Vittorio Emanuele;6;74
Vittorio Emanuele;Stazione F.S.;11;75
Vittorio Emanuele;Stazione F.S.;11;75
Stazione F.S.;Vittorio Emanuele;9;75
Vittorio Emanuele;Stazione F.S.;3;75
Vittorio Emanuele;Stazione F.S.;1;75
Vittorio Emanuele;Stazione F.S.;11;75
Vittorio Emanuele;Stazione F.S.;7;76
Vittorio Emanuele;Stazione F.S.;9;76
Vittorio Emanuele;Stazione F.S.;4;76
Vittorio Emanuele;Stazione F.S.;11;77
Vittorio Emanuele;Stazione F.S.;1;77
Stazione F.S.;Vittorio Emanuele;1;77
Vittorio Emanuele;Stazione F.S.;2;77
Vittorio Emanuele;Stazione F.S.;11;77
Vittorio Emanuele;Stazione F.S.;11;78
Vittorio Emanuele;Stazione F.S.;1;78
Vittorio Emanuele;Stazione F.S.;3;78
Vittorio Emanuele;Stazione F.S.;10;78
Vittorio Emanuele;Stazione F.S.;3;78
Vittorio Emanuele;Stazione F.S.;3;79
Vittorio Emanuele;Stazione F.S.;7;79
Vittorio Emanuele;Stazione F.S.;6;79
Vittorio Emanuele;Stazione F.S.;6;80
Stazione F.S.;Vittorio Emanuele;6;80
Vittorio Emanuele;Stazione F.S.;4;80
Vittorio Emanuele;Stazione F.S.;6;80
Stazione F.S.;Vittorio Emanuele;3;80
Vittorio Emanuele;Stazione F.S.;2;80
Stazione F.S.;Vittorio Emanuele;8;80
Stazione F.S.;Vittorio Emanuele;4;80
Vittorio Emanuele;Stazione F.S.;10;80
Vittorio Emanuele;Stazione F.S.;4;80
Vittorio Emanuele;Stazione F.S.;12;81
